rowid,match_id,hunter,bounty,hunter_time,bounty_time,winner_is_hunter
101,8b52a565-d2d3-42a2-8667-58a5d8a91fee,3415,6127,182,365,1
102,d979ff0c-f1f6-44ea-85d5-17315c044499,3518,4302,324,1645,1
103,fce86deb-f5e7-47f9-9ee9-3ec15818b5ce,4540,8901,350,1019,1
104,69afaed2-25d7-475a-b7ad-1b9db58db3ef,3415,5222,42,93,1
105,175b4567-3c2c-47ba-9c06-d275e015cff9,3671,2640,972,353,0
106,b31758a1-0feb-43dd-91a6-1cec1423533d,4321,2640,659,438,0
107,23535651-a6d5-4210-8bb3-bf9486c294b1,3518,4282,370,546,1
108,a7452cdc-02fe-4396-b319-8430d939cbee,4540,9090,335,462,1
109,4ce8210a-8b63-4480-ab09-48a17eb0dfca,0171,0362,412,74,0
110,39546e55-a14f-4e16-b377-962fb77afba1,7536,3890,442,1161,1
111,132bc54f-7264-465b-927c-d39b4935f84a,0339,5222,558,348,0
112,f6aba6d0-c18d-4f1a-8f36-72e8b9f299f0,3415,9937,96,482,1
113,8ff4a800-e240-4ccb-b58f-9c04556669cf,5663,6040,669,365,0
114,1f634955-bd93-4f70-b850-95c1414b4e97,4540,6040,341,281,0
115,8f274d7c-93cd-48c0-b678-22bec6d9eeca,6448,9880,377,620,1
116,f291cea1-0b6e-4b08-aed3-42cdc7491c32,7536,9549,571,799,1
117,8e06ebd2-2b4c-423a-93e3-99bb6175b67d,3518,5222,390,129,0
118,4ed54fe2-35cb-4c81-9b5a-7aef9839bf8d,3415,9637,112,883,1
119,feed7992-cef2-4420-bfeb-f61299d56545,1995,9637,684,542,0
120,1fcc2a46-4480-4a23-a856-e2c55697ca99,0339,5222,26,958,1
121,4cfbcd79-5b6b-4d86-b3bc-88f2e96d52fd,4540,0362,321,357,1
122,257a0049-ba2d-46d1-865c-e253c114ee1f,3415,4842,23,546,1
123,44a47d85-5f6e-45b2-9fe3-aaaaff9ec694,1995,4302,528,185,0
124,48367338-05f6-4d0a-954c-8b84227b3da2,7379,1960,273,322,1
125,379a08bf-7478-4400-abed-40a774b9622d,0339,0362,291,55,0
